Index	PSNR	SSIM
0	28.575287	0.904433
1	29.643641	0.909120
2	28.201508	0.890767
3	22.999607	0.822842
4	30.179441	0.880024
5	26.160568	0.821607
6	19.967979	0.581499
7	25.932354	0.858316
8	23.438417	0.844353
9	27.918095	0.808982
10	27.268238	0.870095
11	30.719244	0.897215
12	24.041510	0.769763
13	22.689533	0.771610
14	31.684664	0.908623

Average PSNR: 26.628006
Average SSIM: 0.835950
